timestamp,open,high,low,close,volume
2025-05-25 16:26:00,106728.55,106750.0,106693.23,106727.27,35.22482
2025-05-25 16:27:00,106727.28,106749.99,106713.96,106737.65,36.96635
2025-05-25 16:28:00,106737.65,106737.66,106664.33,106664.34,27.3497
2025-05-25 16:29:00,106664.33,106712.35,106645.43,106697.9,29.53364
2025-05-25 16:30:00,106697.89,106763.81,106688.1,106750.0,27.10952
2025-05-25 16:31:00,106750.0,106782.36,106728.92,106747.43,11.94674
2025-05-25 16:32:00,106747.43,106827.15,106744.0,106827.15,6.39195
2025-05-25 16:33:00,106827.15,106839.84,106801.91,106837.98,13.76563
2025-05-25 16:34:00,106837.99,106860.0,106795.93,106859.21,17.43713
2025-05-25 16:35:00,106859.2,106859.21,106804.69,106814.31,8.05647
2025-05-25 16:36:00,106814.32,106851.48,106809.52,106844.72,12.76984
2025-05-25 16:37:00,106844.72,106957.74,106844.72,106957.74,18.30095
2025-05-25 16:38:00,106957.74,106974.09,106934.67,106974.08,6.77837
2025-05-25 16:39:00,106974.09,106982.99,106967.41,106976.23,6.74924
2025-05-25 16:40:00,106976.22,106976.22,106923.06,106938.62,12.08609
2025-05-25 16:41:00,106938.62,106952.3,106938.61,106940.98,1.71309
2025-05-25 16:42:00,106940.98,107088.29,106940.97,107088.28,17.22651
2025-05-25 16:43:00,107088.28,107134.98,107088.28,107134.97,7.34426
2025-05-25 16:44:00,107134.98,107136.37,107070.59,107111.99,18.85566
2025-05-25 16:45:00,107112.0,107162.0,107112.0,107162.0,26.96602
2025-05-25 16:46:00,107162.0,107200.0,107148.1,107161.43,40.041
2025-05-25 16:47:00,107161.42,107212.76,107161.42,107169.53,9.15317
2025-05-25 16:48:00,107169.53,107218.93,107169.53,107218.93,4.36944
2025-05-25 16:49:00,107218.92,107243.36,107147.47,107171.25,12.0002
2025-05-25 16:50:00,107171.26,107171.26,107151.86,107156.64,5.26879
2025-05-25 16:51:00,107156.65,107158.2,107128.28,107158.2,3.86227
2025-05-25 16:52:00,107158.2,107168.27,107118.95,107119.99,7.06776
2025-05-25 16:53:00,107120.0,107153.41,107119.99,107132.06,6.51047
2025-05-25 16:54:00,107132.05,107152.63,107132.05,107152.62,1.3203
2025-05-25 16:55:00,107152.63,107175.21,107126.26,107126.26,6.04096
2025-05-25 16:56:00,107126.27,107142.34,107126.26,107142.34,2.70916
2025-05-25 16:57:00,107142.34,107155.21,107140.0,107140.0,5.84933
2025-05-25 16:58:00,107140.0,107165.64,107140.0,107165.63,1.90159
2025-05-25 16:59:00,107165.63,107174.41,107165.63,107174.4,0.55284
2025-05-25 17:00:00,107174.41,107208.09,107174.4,107204.65,6.52862
2025-05-25 17:01:00,107204.65,107272.73,107204.64,107272.73,10.16612
2025-05-25 17:02:00,107272.73,107272.73,107210.48,107215.48,3.90709
2025-05-25 17:03:00,107215.49,107259.41,107215.48,107259.4,2.01693
2025-05-25 17:04:00,107259.41,107276.66,107252.83,107259.8,7.19716
2025-05-25 17:05:00,107259.79,107289.65,107246.11,107289.64,6.51907
2025-05-25 17:06:00,107289.64,107289.65,107269.7,107272.73,4.2026
2025-05-25 17:07:00,107272.72,107283.92,107272.18,107272.72,7.11445
2025-05-25 17:08:00,107272.73,107286.89,107272.72,107286.88,1.06542
2025-05-25 17:09:00,107286.88,107286.89,107227.27,107227.27,16.60593
2025-05-25 17:10:00,107227.27,107285.72,107227.27,107285.72,9.2436
2025-05-25 17:11:00,107285.71,107285.72,107276.92,107276.92,1.49385
2025-05-25 17:12:00,107276.92,107276.93,107257.68,107269.99,2.14145
2025-05-25 17:13:00,107270.0,107282.44,107269.99,107282.43,2.22557
2025-05-25 17:14:00,107282.43,107282.44,107258.51,107258.52,6.21938
2025-05-25 17:15:00,107258.52,107266.74,107167.67,107167.67,7.59599
2025-05-25 17:16:00,107167.67,107180.45,107161.32,107161.32,3.12744
2025-05-25 17:17:00,107161.32,107161.32,107111.56,107119.99,11.17313
2025-05-25 17:18:00,107119.99,107133.0,107119.99,107132.99,2.4986
2025-05-25 17:19:00,107132.99,107181.81,107132.99,107181.8,2.85826
2025-05-25 17:20:00,107181.8,107181.81,107160.22,107160.22,3.52123
2025-05-25 17:21:00,107160.22,107227.28,107160.22,107220.0,4.7736
2025-05-25 17:22:00,107220.0,107220.01,107220.0,107220.01,0.56018
2025-05-25 17:23:00,107220.01,107272.73,107220.01,107272.72,5.73979
2025-05-25 17:24:00,107272.72,107293.27,107272.72,107293.27,1.46257
2025-05-25 17:25:00,107293.27,107316.45,107243.19,107270.87,5.13724
2025-05-25 17:26:00,107270.88,107270.88,107230.68,107245.24,4.09585
2025-05-25 17:27:00,107245.24,107253.64,107245.23,107246.54,0.84154
2025-05-25 17:28:00,107246.53,107269.49,107246.53,107269.48,0.35517
2025-05-25 17:29:00,107269.48,107296.33,107269.48,107296.33,0.86447
2025-05-25 17:30:00,107296.32,107313.26,107285.65,107285.72,1.72039
2025-05-25 17:31:00,107285.73,107285.73,107254.18,107254.18,3.09827
2025-05-25 17:32:00,107254.17,107290.21,107254.17,107279.44,1.06798
2025-05-25 17:33:00,107279.44,107279.44,107189.55,107189.56,5.83315
2025-05-25 17:34:00,107189.56,107244.02,107189.56,107244.02,4.91153
2025-05-25 17:35:00,107244.01,107244.02,107211.89,107211.89,4.04866
2025-05-25 17:36:00,107211.9,107211.9,107178.68,107178.69,2.65456
2025-05-25 17:37:00,107178.68,107181.81,107162.49,107176.65,3.77114
2025-05-25 17:38:00,107176.66,107193.05,107176.65,107193.05,1.83938
2025-05-25 17:39:00,107193.05,107195.08,107188.88,107188.88,1.66799
2025-05-25 17:40:00,107188.89,107188.89,107177.91,107177.91,1.06371
2025-05-25 17:41:00,107177.92,107199.76,107177.91,107199.76,2.36894
2025-05-25 17:42:00,107199.75,107261.71,107199.75,107261.7,9.08786
2025-05-25 17:43:00,107261.7,107281.12,107261.7,107281.12,1.68949
2025-05-25 17:44:00,107281.12,107281.12,107251.46,107251.46,4.46357
2025-05-25 17:45:00,107251.47,107279.99,107251.46,107279.99,4.26432
